"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"200.1/2925.48","200.1","2925.48",17.1742403224517,18.7846989073279,15.9950930917177,14.5877273915433,14.5877273915433,17.3058279494836,17.4185253935415,16.3345130209241,14.5877273915433,16.0789015447746,17.2258410794977,16.5828424099914
"205/2790.89","205","2790.89",20.7622861569306,20.5796097474369,20.4998900619979,19.9869464851443,20.2221505463717,20.0319261013966,20.8952559465802,20.4842226705379,20.5847938286317,20.2824210045096,20.3709421814923,20.2319188712083
"205.983/2787.77","205.983","2787.77",17.8606017936486,18.0411007081964,17.6197106307529,17.1957312687725,17.4333749519612,14.5877273915433,18.0771667454505,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,17.395044598376
"206/2792.46","206","2792.46",14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,17.2586272488558,14.5877273915433,17.7626216982351,17.6918309896796,17.5115901362,17.5226271273817,14.5877273915433
"207.085/2719.69","207.085","2719.69",18.5389656785445,18.813258283022,18.4242090496854,14.5877273915433,14.5877273915433,17.8424795198151,18.6702869549189,14.5877273915433,18.0847052545589,14.5877273915433,17.9480932730731,17.8529106323532
"219.092/2524.85","219.092","2524.85",17.8456819274085,14.5877273915433,14.5877273915433,14.5877273915433,17.5033952187842,14.5877273915433,17.9000096542787,17.2984331629338,14.5877273915433,14.5877273915433,17.8618181921212,14.5877273915433
"231.024/2515.46","231.024","2515.46",14.5877273915433,14.5877273915433,17.7641967435128,18.1268527386242,18.7309807217523,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433,14.5877273915433
"233.0375/3020.94","233.0375","3020.94",18.6065682996898,18.4453848400201,18.6472136207511,14.5877273915433,14.5877273915433,18.2778074172087,18.5991849092328,14.5877273915433,18.3514932914841,14.5877273915433,14.5877273915433,14.5877273915433
"236.102/2523.29","236.102","2523.29",17.9447121362597,17.6525596473941,16.1313907989928,14.5877273915433,17.5101232643842,17.6010443561273,17.9533155677416,14.5877273915433,14.5877273915433,14.5877273915433,17.9673002691639,17.6557423275539
"241.124/3676.66","241.124","3676.66",14.5877273915433,20.3307371608366,20.2129641317069,19.2696559089627,14.5877273915433,19.1001274699167,20.485522413261,20.6048590486892,14.5877273915433,19.6195878784589,19.4810498852801,18.9962280237355
