"Sample","14","15","16","29","30","31","8","9","10","23","24","25","38","39","40","17","18","19","26","27","28","20","21","22","35","36","37","32","33","34","10713-1","10713-2","10713-3","13514-1","13514-2","13514-3","53211-1","53211-2","53211-3"
"Label","CAN","CAN","CAN","CS","CS","CS","LAB","LAB","LAB","PN","PN","PN","REG","REG","REG","RIP","RIP","RIP","RL","RL","RL","ROT","ROT","ROT","RU","RU","RU","TRI","TRI","TRI","CFN","CFN","CFN","CHT","CHT","CHT","SB","SB","SB"
97.17742750000001,,,,,,,,,,275602.0,239367.0,310300.0,282053.0,353422.0,399110.0,,,,,,,,,,430984.0,382831.0,712734.0,157467.0,198609.0,496041.0,,,,,,,,,
97.906,,,,,,,,,,236345.0,256112.0,127027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.90738333333333,,,,,,,,,,301989.0,346225.0,147881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.146805,,,,,,,,,,120663.0,130836.0,146804.0,233490.0,263816.0,259839.0,,,,,,,,,,119192.0,204625.0,310500.0,138904.0,283354.0,473104.0,,,,,,,,,
98.73947666666668,,,,,,,,,,166834.0,179355.0,274091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.74090333333334,,,,,,,,,,160437.0,146493.0,206380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.20474999999999,,,,,,,,,,719730.0,820178.0,535820.0,861252.0,733157.0,626267.0,,,,,,,,,,937656.0,646372.0,499978.0,445540.0,408345.0,326200.0,,,,,,,,,
99.206214,289877.0,401200.0,281404.0,562478.0,642122.0,344005.0,239609.0,321918.0,444545.0,615577.0,631065.0,457839.0,,,,,,,616237.0,611422.0,571631.0,,,,,,,,,,,,,,,,,,
99.20628777777777,,,,,,,,,,,,,746952.0,700851.0,685801.0,,,,,,,,,,825280.0,665362.0,529166.0,380102.0,330732.0,358795.0,,,,,,,,,
99.56282666666668,,,,,,,,,,260079.0,422170.0,427208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.56425,,,,,,,,,,198882.0,307696.0,366778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.87318666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,119037.0,163258.0,138248.0,,,,,,,,,
100.04428333333334,,,,,,,,,,131915.0,149965.0,128097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.05460333333333,,,,,,,,,,133623.0,111533.0,237394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.21528,,,,,,,,,,,,,128331.0,130788.0,98134.0,,,,,,,,,,,,,,,,,,,,,,,,
100.21675444444445,,,,,,,,,,,,,224510.0,276487.0,201667.0,,,,,,,,,,288081.0,247098.0,291529.0,196694.0,279784.0,394298.0,,,,,,,,,
100.21835500000002,,,,,,,,,,145107.0,254160.0,340632.0,456880.0,615522.0,394588.0,,,,,,,,,,491748.0,447447.0,652840.0,337703.0,495349.0,729925.0,,,,,,,,,
100.93083999999999,96037.0,166644.0,118067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.35764266666668,,,,104880.0,131142.0,99936.0,,,,173149.0,198801.0,219313.0,315035.0,279660.0,376264.0,,,,,,,,,,467209.0,235746.0,347341.0,315642.0,453372.0,700933.0,,,,,,,,,
101.35923333333334,,,,,,,,,,145300.0,161705.0,164812.0,238258.0,270985.0,280346.0,,,,,,,,,,339510.0,186017.0,353130.0,239396.0,365049.0,553179.0,,,,,,,,,
101.82063333333333,,,,,,,,,,,,,138496.0,112846.0,178044.0,,,,,,,,,,,,,,,,,,,,,,,,
102.07677333333334,,,,,,,,,,,,,,,,,,,,,,,,,100949.0,135008.0,119066.0,111829.0,195168.0,117073.0,,,,,,,,,
102.07821888888888,,,,,,,,,,,,,246446.0,254419.0,102660.0,,,,,,,,,,161029.0,148553.0,108911.0,259233.0,224214.0,153549.0,,,,,,,,,
102.07970333333334,,,,141450.0,198857.0,199523.0,,,,,,,596026.0,600245.0,266548.0,,,,232747.0,197337.0,130813.0,,,,,,,,,,,,,,,,,,
102.07979666666665,,,,,,,,,,,,,,,,,,,,,,,,,316943.0,417655.0,218401.0,409947.0,375237.0,337008.0,,,,,,,,,
102.08134000000001,,,,,,,,,,,,,279105.0,339374.0,207991.0,,,,,,,,,,180554.0,224305.0,137599.0,226960.0,225845.0,144959.0,,,,,,,,,
